source_type,source_native_id,event_date,title_or_name,doi,venue,topics,candidate_family,retrieved_candidate_families,auto_in_scope,auto_primary_technology_id,auto_secondary_technology_ids,auto_confidence,auto_false_positive_type,screening_reason,evidence_excerpt,retrieval_evidence_scope,ai_prereview_status,ai_suggested_in_scope,ai_suggested_primary_technology_id,ai_review_note,gold_status,gold_in_scope,gold_primary_technology_id,reviewer_note
science,https://openalex.org/W1545528966,2015-04-01,Malware classification with recurrent networks,https://doi.org/10.1109/icassp.2015.7178304,,"[""Neural Networks and Reservoir Computing"", ""Advanced Malware Detection Techniques"", ""Adversarial Robustness in Machine Learning""]",T03,"[""T03""]",True,T03,[],HIGH,,"AI=['machine learning', 'neural network']; family=['malware detection', 'malware classification', 'NO_REQUIRED_CONTEXT']","Attackers often create systems that automatically rewrite and reorder their malware to avoid detection. Typical machine learning approaches, which learn a classifier based on a handcrafted feature vector, are not sufficiently robust to such reorderings. We propose a different approach, which, similar to natural language modeling, learns the language of malware spoken through the executed instructions and extracts robust, time domain features. Echo state networks (ESNs) and recurrent neural networks (RNNs) are used for the projection stage that extracts the features. These models are trained in an unsupervised fashion. A standard classifier uses these features to detect malicious files. We explore a few variants of ESNs and RNNs for the projection stage, including Max-Pooling and Half-Frame models which we propose. The best performing hybrid model uses an ESN for the recurrent model, Max-Pooling for non-linear sampling, and logistic regression for the final classification. Compared to the standard trigram of events model, it improves the true positive rate by 98.3% at a false positive rate of 0.1%.","OpenAlex search covers title/abstract/fulltext; stored Pilot evidence currently includes title metadata plus reconstructed abstract, not fulltext.",,,,,,,,
science,https://openalex.org/W2057787526,2014-01-01,Malware Analysis and Classification: A Survey,https://doi.org/10.4236/jis.2014.52006,Journal of Information Security,"[""Advanced Malware Detection Techniques"", ""Network Security and Intrusion Detection"", ""Spam and Phishing Detection""]",T03,"[""T03""]",True,T03,"[""T04""]",MEDIUM,,"AI=['machine learning']; family=['malware detection', 'malware analysis', 'NO_REQUIRED_CONTEXT']","One of the major and serious threats on the Internet today is malicious software, often referred to as a malware. The malwares being designed by attackers are polymorphic and metamorphic which have the ability to change their code as they propagate. Moreover, the diversity and volume of their variants severely undermine the effectiveness of traditional defenses which typically use signature based techniques and are unable to detect the previously unknown malicious executables. The variants of malware families share typical behavioral patterns reflecting their origin and purpose. The behavioral patterns obtained either statically or dynamically can be exploited to detect and classify unknown malwares into their known families using machine learning techniques. This survey paper provides an overview of techniques for analyzing and classifying the malwares.","OpenAlex search covers title/abstract/fulltext; stored Pilot evidence currently includes title metadata plus reconstructed abstract, not fulltext.",,,,,,,,
science,https://openalex.org/W2594475271,2017-02-28,Towards A Rigorous Science of Interpretable Machine Learning,https://doi.org/10.48550/arxiv.1702.08608,arXiv (Cornell University),"[""Explainable Artificial Intelligence (XAI)"", ""Adversarial Robustness in Machine Learning"", ""Machine Learning and Data Classification""]",T04,"[""T04""]",False,,[],LOW,GENERIC_AI,"AI signal ['artificial intelligence', 'machine learning', 'XAI'] present but no AI-for-cybersecurity family passed term/context rules","As machine learning systems become ubiquitous, there has been a surge of interest in interpretable machine learning: systems that provide explanation for their outputs. These explanations are often used to qualitatively assess other criteria such as safety or non-discrimination. However, despite the interest in interpretability, there is very little consensus on what interpretable machine learning is and how it should be measured. In this position paper, we first define interpretability and describe when interpretability is needed (and when it is not). Next, we suggest a taxonomy for rigorous evaluation and expose open questions towards a more rigorous science of interpretable machine learning.","OpenAlex search covers title/abstract/fulltext; stored Pilot evidence currently includes title metadata plus reconstructed abstract, not fulltext.",,,,,,,,
science,https://openalex.org/W2904539465,2018-12-10,A holistic review of Network Anomaly Detection Systems: A comprehensive survey,https://doi.org/10.1016/j.jnca.2018.12.006,Journal of Network and Computer Applications,"[""Network Security and Intrusion Detection"", ""Internet Traffic Analysis and Secure E-voting"", ""Advanced Malware Detection Techniques""]",T04,"[""T04""]",False,,[],REJECT,NO_AI_SIGNAL,cybersecurity capability found but no AI-method anchor,,"OpenAlex search covers title/abstract/fulltext; stored Pilot evidence currently includes title metadata plus reconstructed abstract, not fulltext.",,,,,,,,
science,https://openalex.org/W2399941526,2016-01-01,A Deep Learning Approach for Network Intrusion Detection System,https://doi.org/10.4108/eai.3-12-2015.2262516,,"[""Network Security and Intrusion Detection"", ""Internet Traffic Analysis and Secure E-voting"", ""Network Packet Processing and Optimization""]",T04,"[""T04""]",True,T04,[],HIGH,,"AI=['deep learning']; family=['intrusion detection', 'network', 'traffic']","A Network Intrusion Detection System (NIDS) helps system administrators to detect network security breaches in their organizations. However, many challenges arise while developing a flexible and efficient NIDS for unforeseen and unpredictable attacks. We propose a deep learning based approach for","OpenAlex search covers title/abstract/fulltext; stored Pilot evidence currently includes title metadata plus reconstructed abstract, not fulltext.",,,,,,,,
science,https://openalex.org/W2075424814,2015-04-22,Applications of Artificial Intelligence in Machine Learning: Review and Prospect,https://doi.org/10.5120/20182-2402,International Journal of Computer Applications,"[""Data Stream Mining Techniques"", ""Text and Document Classification Technologies"", ""Spam and Phishing Detection""]",T04,"[""T04""]",True,T05,[],HIGH,,"AI=['artificial intelligence', 'machine learning']; family=['phishing detection', 'NO_REQUIRED_CONTEXT']","Machine learning is one of the most exciting recent technologies in Artificial Intelligence. Learning algorithms in many applications that's we make use of daily. Every time a web search engine like Google or Bing is used to search the internet, one of the reasons that works so well is because a learning algorithm, one implemented by Google or Microsoft, has learned how to rank web pages. Every time Facebook is used and it recognizes friends' photos, that's also machine learning. Spam filters in email saves the user from having to wade through tons of spam email, that's also a learning algorithm. In this paper, a brief review and future prospect of the vast applications of machine learning has been made.","OpenAlex search covers title/abstract/fulltext; stored Pilot evidence currently includes title metadata plus reconstructed abstract, not fulltext.",,,,,,,,
science,https://openalex.org/W3197886029,2021-10-04,Evolutionary Machine Learning: A Survey,https://doi.org/10.1145/3467477,ACM Computing Surveys,"[""Evolutionary Algorithms and Applications"", ""Metaheuristic Optimization Algorithms Research"", ""Advanced Multi-Objective Optimization Algorithms""]",T05,"[""T05"", ""T10""]",False,,[],LOW,GENERIC_AI,"AI signal ['artificial intelligence', 'machine learning', 'neural network'] present but no AI-for-cybersecurity family passed term/context rules","Evolutionary Computation (EC) approaches are inspired by nature and solve optimization problems in a stochastic manner. They can offer a reliable and effective approach to address complex problems in real-world applications. EC algorithms have recently been used to improve the performance of Machine Learning (ML) models and the quality of their results. Evolutionary approaches can be used in all three parts of ML: preprocessing (e.g., feature selection and resampling), learning (e.g., parameter setting, membership functions, and neural network topology), and postprocessing (e.g., rule optimization, decision tree/support vectors pruning, and ensemble learning). This article investigates the role of EC algorithms in solving different ML challenges. We do not provide a comprehensive review of evolutionary ML approaches here; instead, we discuss how EC algorithms can contribute to ML by addressing conventional challenges of the artificial intelligence and ML communities. We look at the contributions of EC to ML in nine sub-fields: feature selection, resampling, classifiers, neural networks, reinforcement learning, clustering, association rule mining, and ensemble methods. For each category, we discuss evolutionary machine learning in terms of three aspects: problem formulation, search mechanisms, and fitness value computation. We also consider open issues and challenges that should be addressed in future work.","OpenAlex search covers title/abstract/fulltext; stored Pilot evidence currently includes title metadata plus reconstructed abstract, not fulltext.",,,,,,,,
science,https://openalex.org/W1147066959,2015-08-08,Utilisation of website logo for phishing detection,https://doi.org/10.1016/j.cose.2015.07.006,Computers & Security,"[""Spam and Phishing Detection"", ""Text and Document Classification Technologies"", ""Authorship Attribution and Profiling""]",T05,"[""T05""]",False,,[],REJECT,NO_AI_SIGNAL,cybersecurity capability found but no AI-method anchor,,"OpenAlex search covers title/abstract/fulltext; stored Pilot evidence currently includes title metadata plus reconstructed abstract, not fulltext.",,,,,,,,
science,https://openalex.org/W3179240416,2021-01-01,Design and Development of a Deep Learning-Based Model for Anomaly Detection in IoT Networks,https://doi.org/10.1109/access.2021.3094024,IEEE Access,"[""Network Security and Intrusion Detection"", ""Internet Traffic Analysis and Secure E-voting"", ""Anomaly Detection Techniques and Applications""]",T05,"[""T05"", ""T06""]",True,T04,[],HIGH,,"AI=['machine learning', 'deep learning', 'neural network']; family=['intrusion detection', 'network', 'traffic']","The growing development of IoT (Internet of Things) devices creates a large attack surface for cybercriminals to conduct potentially more destructive cyberattacks; as a result, the security industry has seen an exponential increase in cyber-attacks. Many of these attacks have effectively accomplished their malicious goals because intruders conduct cyber-attacks using novel and innovative techniques. An anomaly-based IDS (Intrusion Detection System) uses machine learning techniques to detect and classify attacks in IoT networks. In the presence of unpredictable network technologies and various intrusion methods, traditional machine learning techniques appear inefficient. In many research areas, deep learning methods have shown their ability to identify anomalies accurately. Convolutional neural networks are an excellent alternative for anomaly detection and classification due to their ability to automatically categorize main characteristics in input data and their effectiveness in performing faster computations. In this paper, we design and develop a novel anomaly-based intrusion detection model for IoT networks. First, a convolutional neural network model is used to create a multiclass classification model. The proposed model is then implemented using convolutional neural networks in 1D, 2D, and 3D. The proposed convolutional neural network model is validated using the BoT-IoT, IoT Network Intrusion, MQTT-IoT-IDS2020, and IoT-23 intrusion detection datasets. Transfer learning is used to implement binary and multiclass classification using a convolutional neural network mult","OpenAlex search covers title/abstract/fulltext; stored Pilot evidence currently includes title metadata plus reconstructed abstract, not fulltext.",,,,,,,,
science,https://openalex.org/W2787538540,2018-02-09,URLNet: Learning a URL Representation with Deep Learning for Malicious URL Detection,https://doi.org/10.48550/arxiv.1802.03162,arXiv (Cornell University),"[""Spam and Phishing Detection"", ""Misinformation and Its Impacts"", ""Advanced Malware Detection Techniques""]",T05,"[""T05""]",True,T05,[],HIGH,,"AI=['machine learning', 'deep learning', 'neural network']; family=['phishing detection', 'malicious URL detection', 'NO_REQUIRED_CONTEXT']","Malicious URLs host unsolicited content and are used to perpetrate cybercrimes. It is imperative to detect them in a timely manner. Traditionally, this is done through the usage of blacklists, which cannot be exhaustive, and cannot detect newly generated malicious URLs. To address this, recent years have witnessed several efforts to perform Malicious URL Detection using Machine Learning. The most popular and scalable approaches use lexical properties of the URL string by extracting Bag-of-words like features, followed by applying machine learning models such as SVMs. There are also other features designed by experts to improve the prediction performance of the model. These approaches suffer from several limitations: (i) Inability to effectively capture semantic meaning and sequential patterns in URL strings; (ii) Requiring substantial manual feature engineering; and (iii) Inability to handle unseen features and generalize to test data. To address these challenges, we propose URLNet, an end-to-end deep learning framework to learn a nonlinear URL embedding for Malicious URL Detection directly from the URL. Specifically, we apply Convolutional Neural Networks to both characters and words of the URL String to learn the URL embedding in a jointly optimized framework. This approach allows the model to capture several types of semantic information, which was not possible by the existing models. We also propose advanced word-embeddings to solve the problem of too many rare words observed in this task. We conduct extensive experiments on a large-scale dataset and show a significant ","OpenAlex search covers title/abstract/fulltext; stored Pilot evidence currently includes title metadata plus reconstructed abstract, not fulltext.",,,,,,,,
science,https://openalex.org/W2772515592,2017-12-01,Text feature extraction based on deep learning: a review,https://doi.org/10.1186/s13638-017-0993-1,EURASIP Journal on Wireless Communications and Networking,"[""Text and Document Classification Technologies"", ""Handwritten Text Recognition Techniques"", ""Image Retrieval and Classification Techniques""]",T06,"[""T06""]",False,,[],LOW,GENERIC_AI,AI signal ['deep learning'] present but no AI-for-cybersecurity family passed term/context rules,"Selection of text feature item is a basic and important matter for text mining and information retrieval. Traditional methods of feature extraction require handcrafted features. To hand-design, an effective feature is a lengthy process, but aiming at new applications, deep learning enables to acquire new effective feature representation from training data. As a new feature extraction method, deep learning has made achievements in text mining. The major difference between deep learning and conventional methods is that deep learning automatically learns features from big data, instead of adopting handcrafted features, which mainly depends on priori knowledge of designers and is highly impossible to take the advantage of big data. Deep learning can automatically learn feature representation from big data, including millions of parameters. This thesis outlines the common methods used in text feature extraction first, and then expands frequently used deep learning methods in text feature extraction and its applications, and forecasts the application of deep learning in feature extraction.","OpenAlex search covers title/abstract/fulltext; stored Pilot evidence currently includes title metadata plus reconstructed abstract, not fulltext.",,,,,,,,
science,https://openalex.org/W2026621111,2013-05-16,Botnet detection based on traffic behavior analysis and flow intervals,https://doi.org/10.1016/j.cose.2013.04.007,Computers & Security,"[""Network Security and Intrusion Detection"", ""Internet Traffic Analysis and Secure E-voting"", ""Advanced Malware Detection Techniques""]",T06,"[""T06""]",False,,[],REJECT,NO_AI_SIGNAL,cybersecurity capability found but no AI-method anchor,,"OpenAlex search covers title/abstract/fulltext; stored Pilot evidence currently includes title metadata plus reconstructed abstract, not fulltext.",,,,,,,,
science,https://openalex.org/W3127161477,2021-02-04,Deep Learning for Network Traffic Monitoring and Analysis (NTMA): A Survey,https://doi.org/10.1016/j.comcom.2021.01.021,Computer Communications,"[""Internet Traffic Analysis and Secure E-voting"", ""Network Security and Intrusion Detection"", ""Traffic Prediction and Management Techniques""]",T06,"[""T06"", ""T10""]",True,T04,[],HIGH,,"AI=['deep learning']; family=['intrusion detection', 'network', 'traffic']","Modern communication systems and networks, e.g., Internet of Things (IoT) and cellular networks, generate a massive and heterogeneous amount of traffic data. In such networks, the traditional network management techniques for monitoring and data analytics face some challenges and issues, e.g., accuracy, and effective processing of big data in a real-time fashion. Moreover, the pattern of network traffic, especially in cellular networks, shows very complex behavior because of various factors, such as device mobility and network heterogeneity. Deep learning has been efficiently employed to facilitate analytics and knowledge discovery in big data systems to recognize hidden and complex patterns. Motivated by these successes, researchers in the field of networking apply deep learning models for Network Traffic Monitoring and Analysis (NTMA) applications, e.g., traffic classification and prediction. This paper provides a comprehensive review on applications of deep learning in NTMA. We first provide fundamental background relevant to our review. Then, we give an insight into the confluence of deep learning and NTMA, and review deep learning techniques proposed for NTMA applications. Finally, we discuss key challenges, open issues, and future research directions for using deep learning in NTMA applications.","OpenAlex search covers title/abstract/fulltext; stored Pilot evidence currently includes title metadata plus reconstructed abstract, not fulltext.",,,,,,,,
science,https://openalex.org/W2073119119,2014-02-01,An efficient flow-based botnet detection using supervised machine learning,https://doi.org/10.1109/iccnc.2014.6785439,"2014 International Conference on Computing, Networking and Communications (ICNC)","[""Network Security and Intrusion Detection"", ""Internet Traffic Analysis and Secure E-voting"", ""Anomaly Detection Techniques and Applications""]",T06,"[""T06""]",True,T04,"[""T06""]",MEDIUM,,"AI=['machine learning']; family=['intrusion detection', 'network', 'traffic']","Botnet detection represents one of the most crucial prerequisites of successful botnet neutralization. This paper explores how accurate and timely detection can be achieved by using supervised machine learning as the tool of inferring about malicious botnet traffic. In order to do so, the paper introduces a novel flow-based detection system that relies on supervised machine learning for identifying botnet network traffic. For use in the system we consider eight highly regarded machine learning algorithms, indicating the best performing one. Furthermore, the paper evaluates how much traffic needs to be observed per flow in order to capture the patterns of malicious traffic. The proposed system has been tested through the series of experiments using traffic traces originating from two well-known P2P botnets and diverse non-malicious applications. The results of experiments indicate that the system is able to accurately and timely detect botnet traffic using purely flow-based traffic analysis and supervised machine learning. Additionally, the results show that in order to achieve accurate detection traffic flows need to be monitored for only a limited time period and number of packets per flow. This indicates a strong potential of using the proposed approach within a future on-line detection framework.","OpenAlex search covers title/abstract/fulltext; stored Pilot evidence currently includes title metadata plus reconstructed abstract, not fulltext.",,,,,,,,
science,https://openalex.org/W2781561782,2017-08-23,Artificial Intelligence Methods for Cyber Threats Intelligence,,International Journal of Computers,"[""European and Russian Geopolitical Military Strategies"", ""Intelligence, Security, War Strategy"", ""Military Strategy and Technology""]",T07,"[""T07""]",False,,[],LOW,GENERIC_AI,AI signal ['artificial intelligence'] present but no AI-for-cybersecurity family passed term/context rules,"Following ENISA s findings on the two main trends in Cyber Defence development over the past few years - adopting the philosophy and methods of Military Intelligence and introducing Artificial Intelligence into technologies for counteraction of cyber attacks - the Faculty of Computer Systems and Technology at Technical University of Sofia undertook research on the application of intelligent methods for increasing the security in computer networks. While in the field of Tactical Cyber Threats Intelligence the research has already passed into the real-world prototyping phase, in the sphere of Operational Cyber Threats Intelligence (as in the international research community) the research is still at an early stage.","OpenAlex search covers title/abstract/fulltext; stored Pilot evidence currently includes title metadata plus reconstructed abstract, not fulltext.",,,,,,,,
science,https://openalex.org/W2800740927,2018-01-01,Cyber Threat Intelligence: Challenges and Opportunities,https://doi.org/10.1007/978-3-319-73951-9_1,Advances in information security,"[""Advanced Malware Detection Techniques"", ""Digital and Cyber Forensics"", ""Cybercrime and Law Enforcement Studies""]",T07,"[""T07""]",False,,[],REJECT,NO_AI_SIGNAL,cybersecurity capability found but no AI-method anchor,,"OpenAlex search covers title/abstract/fulltext; stored Pilot evidence currently includes title metadata plus reconstructed abstract, not fulltext.",,,,,,,,
